[1, 16, 18, 20, 22, 26] 16
[1, 18, 21, 29, 30, 32] 16
[3, 5, 9, 11, 27, 31]   16
[3, 11, 19, 20, 21, 26] 16
[1, 4, 8, 12, 13, 30]   15
[2, 17, 22, 27, 30, 32] 15
[1, 7, 10, 13, 25, 32]  14
[1, 8, 11, 14, 20, 27]  14
[2, 3, 5, 9, 24, 32]    13
[2, 5, 6, 20, 22, 30]   13
[1, 12, 19, 21, 26, 27] 12
[3, 4, 7, 8, 30, 32]    12
[3, 15, 19, 20, 25, 28] 12
[4, 6, 10, 17, 21, 31]  12
[3, 7, 8, 21, 27, 28]   11
[1, 5, 13, 17, 18, 25]  11
[2, 4, 7, 10, 26, 29]   11
[2, 5, 6, 12, 15, 31]   11
[3, 5, 14, 16, 27, 33]  11
[3, 13, 16, 23, 28, 32] 11
[4, 16, 18, 23, 25, 32] 11
[7, 11, 16, 19, 24, 29] 11
[8, 9, 13, 14, 15, 33]  11
[16, 19, 21, 22, 23, 32]10
[9, 10, 20, 26, 28, 31] 10
